age,income,claim_amount,num_claims,has_prior_fraud,is_fraud
56,29930,44908,3,0,0
69,23285,37067,1,1,0
46,55863,10360,2,0,0
32,36704,33692,0,0,0
60,38705,40219,2,0,0
25,20555,13941,1,1,0
38,41323,16993,2,0,0
56,90968,15620,3,1,0
36,86922,21193,2,1,0
40,73915,22248,2,0,0
28,30619,46852,1,1,1
28,92390,6027,2,1,0
41,79274,5260,2,1,0
53,93173,38596,4,0,0
57,41225,42540,1,1,0
41,46739,10012,3,0,0
20,67708,26823,1,0,0
39,73019,9315,2,1,0
19,96154,48027,2,0,0
41,27373,13631,0,1,0
61,55281,19258,1,0,0
47,40187,26099,3,1,0
55,87863,36891,3,1,0
19,117927,37992,2,0,0
38,104085,32376,1,0,0
50,59220,11977,1,0,0
29,27642,27694,0,0,0
39,99971,48376,1,0,0
61,75556,34978,2,1,0
42,53760,10218,0,1,0
66,58192,22788,3,0,0
44,24381,21501,2,0,0
59,116583,13453,4,1,0
45,39558,39197,1,1,0
33,50782,16210,4,1,0
32,24782,9689,2,0,0
64,111417,46489,1,1,0
68,74712,28381,5,0,0
61,114945,30508,5,0,0
69,39462,43653,2,0,1
20,80030,22142,2,1,0
54,88519,41950,3,0,0
68,76411,9916,3,1,0
24,75206,1375,2,0,1
38,117469,32449,3,1,0
26,66950,24797,2,1,0
56,22523,21782,0,0,0
35,80926,28028,2,0,0
21,29677,21243,4,0,0
42,95828,30379,0,1,0
31,35089,38780,4,1,0
67,24581,31740,0,1,0
26,31907,20984,2,1,0
43,25609,1050,0,0,0
19,71153,7590,1,1,0
37,70539,41205,2,0,0
45,64143,16162,1,1,0
64,42936,14105,4,1,0
24,70182,38499,2,0,0
61,119524,37641,0,0,0
25,115042,12628,1,1,0
64,33163,43032,4,1,0
52,79758,39516,6,0,0
31,66057,22621,1,1,0
34,32537,2476,3,1,0
53,42419,41800,2,0,0
67,62578,36788,0,0,0
57,94991,25437,4,0,0
21,94599,27240,3,1,1
19,20834,46452,0,0,1
23,52214,11922,0,0,0
59,112934,49154,2,0,0
21,22413,9066,3,1,0
46,29505,13089,2,0,0
35,22105,33600,2,1,0
43,88104,47176,1,1,0
61,78408,9167,3,0,0
51,57679,13816,3,1,0
27,119096,22164,1,0,0
53,99731,21429,1,1,0
31,85131,36001,2,0,0
48,84280,32415,3,1,0
65,35762,9117,2,1,0
32,78703,48318,2,1,0
25,101434,7359,1,0,0
31,83079,15364,4,0,0
40,41577,37965,1,1,0
57,21214,29794,0,0,0
38,106339,11293,3,1,1
33,68114,10332,0,0,0
62,109234,1615,2,0,0
35,83230,46612,3,1,0
64,52980,13401,3,0,0
41,87194,42936,3,0,0
43,97806,30372,1,1,0
42,57792,43276,2,1,0
62,65807,49322,2,0,0
58,42301,3339,0,1,0
46,25141,17246,0,0,0
32,33777,9109,2,0,0
62,58346,24758,2,0,0
18,74703,24091,3,0,0
42,114977,44056,3,0,0
24,67819,14317,1,1,1
26,48469,17762,2,1,0
41,23845,4465,1,0,0
18,43290,26622,1,0,0
61,50699,7800,0,1,0
25,64252,36539,3,1,0
41,118682,37651,2,1,0
28,23293,3600,2,0,0
68,77089,6518,0,1,0
34,36608,20627,3,1,0
25,86273,30369,2,0,0
52,36619,32445,3,1,1
52,98006,17689,2,1,0
50,107908,16923,5,1,0
22,101653,39469,3,0,0
59,34779,31403,0,0,0
56,71040,1958,3,0,0
58,114830,41363,2,1,0
45,76325,4538,4,1,1
24,41630,24404,2,1,0
26,32178,10983,4,0,0
25,39935,36371,4,0,0
29,67258,25642,2,1,0
51,42784,14467,2,1,0
50,83722,1205,3,1,0
65,43027,28409,2,0,0
40,116544,13442,2,1,1
41,77853,27290,3,1,0
54,87359,27108,3,1,0
52,92388,6691,2,0,0
61,98608,39909,2,1,0
57,96669,20504,2,0,0
39,35111,31162,4,0,0
44,52312,40496,4,1,0
52,44161,39798,3,0,0
18,87313,22551,2,0,0
52,70374,14383,4,1,0
54,44014,17496,2,0,0
64,100308,42716,2,1,0
31,66389,10088,6,1,0
20,38161,47982,1,1,0
18,27490,28444,0,1,1
22,44502,25734,1,0,0
43,55757,42745,1,0,0
31,61111,35571,2,0,0
56,118273,27415,0,1,0
44,103245,16389,5,1,0
26,78645,28744,4,0,0
32,79055,19682,3,1,0
32,28998,46038,2,1,0
43,48906,35310,1,0,1
59,90192,8259,2,0,0
30,70477,46168,3,1,1
68,56901,13546,4,1,0
49,111271,3154,1,1,0
56,72021,9766,0,0,0
66,49092,49517,1,1,0
69,21242,12230,0,0,0
49,21831,18765,2,0,0
21,70721,6902,2,0,0
47,48511,2222,0,1,0
54,92782,28050,0,0,0
40,117003,35269,0,0,0
56,38302,10050,0,0,0
62,75568,49976,2,1,0
32,23232,4574,3,0,0
60,71507,37497,2,1,0
46,96508,12157,2,1,1
53,30683,20575,3,1,0
30,43664,41244,2,0,0
49,53172,18945,3,0,0
24,103641,15962,3,1,0
68,84340,36290,3,0,0
39,107236,36159,2,1,0
45,31017,25852,0,1,0
19,56613,31684,4,1,0
59,106130,45842,1,1,0
62,96920,12796,2,0,0
23,50348,25450,3,0,0
45,36448,35846,5,0,0
45,29491,46037,1,0,0
61,98648,48130,2,1,0
61,116557,18504,2,1,0
37,78759,46728,3,0,0
47,64553,31041,3,1,0
28,20968,11715,1,0,0
45,20368,22803,4,1,0
42,93960,4370,2,1,0
56,55010,2908,3,0,0
50,74154,38075,1,1,0
18,55851,22134,3,1,0
44,45496,45065,1,0,0
69,50936,4587,1,0,0
30,98858,31023,1,0,0
58,87005,46153,4,1,0
20,57493,3413,2,1,0
56,89795,26038,0,1,0
23,56390,23555,1,0,0
25,30292,11952,4,1,0
44,112377,4457,1,0,0
26,48365,9464,1,1,0
54,37207,2150,3,1,0
50,42912,48305,0,1,0
68,100771,33264,1,0,0
59,76572,41222,1,1,0
61,119083,48553,2,1,0
41,39276,45349,2,0,0
32,117459,33786,1,1,0
49,25534,10808,2,1,0
49,112005,39345,1,1,0
41,55670,5081,2,0,0
58,82147,40222,2,1,0
69,118099,9933,4,1,0
66,56486,3671,1,0,0
66,85557,44739,4,0,0
69,54268,48738,3,1,0
29,101335,32217,3,0,0
56,46336,40155,1,1,1
19,23641,40601,3,0,0
20,107132,20008,2,1,0
66,52959,22883,2,0,1
54,33306,34282,1,0,0
66,66182,33974,1,1,0
34,94123,34715,0,0,1
66,76326,44401,3,0,1
19,116895,16380,3,0,0
19,41498,19212,3,0,0
45,90198,29174,1,1,0
40,47197,7861,1,1,0
54,40719,7094,1,1,0
49,110201,40113,6,1,0
50,45032,47728,3,0,0
18,79624,25363,1,0,0
36,98177,23310,4,1,0
19,61964,40300,1,0,0
61,50028,6943,1,0,0
43,74646,15569,2,0,0
49,101187,43616,0,0,0
23,28536,9793,2,1,0
49,76747,39207,0,0,0
21,65712,26287,1,1,1
28,26273,34971,3,0,1
34,91820,43351,3,1,0
55,111228,48179,2,1,0
41,94353,32369,1,1,0
22,114491,24023,0,1,0
69,112091,46885,2,1,0
51,105914,24897,1,0,1
23,70830,24010,2,0,0
39,37127,41154,4,0,0
28,103488,36899,1,1,0
65,31539,21114,4,0,0
33,66761,20050,0,1,0
50,66219,22125,1,1,0
26,34692,29558,0,1,1
23,103656,45846,1,1,0
33,33334,21396,1,1,0
46,48615,28125,5,1,0
20,27903,23580,1,1,0
37,48527,39973,1,0,0
53,35629,24574,0,1,0
36,78008,25619,3,1,0
43,103276,14869,2,0,0
20,119318,1658,2,0,0
36,46708,48150,2,0,0
37,30860,13122,3,0,0
49,37438,44827,1,1,0
24,87300,14335,1,0,0
69,91545,22677,1,0,0
58,40842,29223,3,1,0
50,80213,30814,4,0,0
57,62372,19075,3,0,0
56,118971,44185,0,1,0
35,88906,12258,3,1,0
57,58744,31527,3,0,0
18,77442,11139,0,1,0
28,105990,43325,3,1,0
45,23650,41503,4,1,0
42,65117,20514,1,0,0
67,111244,21917,3,0,0
40,72772,30097,2,1,0
48,23190,18788,1,1,0
47,68113,26061,5,1,0
59,28789,10947,1,0,0
52,52125,16544,0,0,0
24,118695,21014,2,0,0
33,37459,15795,1,0,0
43,55418,33632,4,0,0
65,67085,20352,1,0,0
69,38768,24653,1,1,0
66,69961,2579,2,0,0
19,101099,32758,1,0,0
18,47885,44755,3,0,1
65,107421,39760,5,1,1
29,81082,33818,1,1,0
22,26895,7452,2,1,0
54,70311,38921,3,1,1
49,109494,16340,3,1,0
26,87067,47668,3,1,0
58,91017,48738,2,1,0
52,43932,3787,0,1,0
36,41360,47149,2,0,0
65,74847,49357,3,0,1
33,110365,16839,2,0,0
20,105468,3155,0,0,1
37,58931,8019,3,1,0
41,75823,21614,4,0,0
50,58032,27190,1,0,0
41,101426,41375,4,0,0
69,38807,11928,0,0,0
28,31767,49425,3,0,0
66,28071,9598,3,1,0
25,73413,45339,3,0,1
53,46149,21581,3,1,0
55,35540,49974,2,1,0
57,90248,45655,1,1,0
37,111737,48796,3,0,0
52,105435,49743,1,1,0
65,39787,47607,3,0,0
42,40982,14919,3,0,0
52,42606,39180,3,0,0
42,30150,5499,2,1,0
46,105929,38677,3,0,0
35,66936,49246,1,0,0
63,113286,44862,2,1,0
35,28593,26602,1,1,0
19,37358,30692,4,0,1
52,102143,41422,3,1,0
33,57381,49750,4,1,0
58,110347,22760,4,1,0
53,48074,3920,4,0,0
50,40595,25085,4,1,0
21,64194,23925,1,0,0
50,69377,6615,0,0,0
31,46853,38083,0,0,0
38,93719,46228,4,0,0
65,40661,3783,3,0,0
37,70493,10605,0,1,0
25,56495,46557,1,0,0
24,33703,45608,2,0,0
20,73080,20192,1,0,0
34,50815,4331,1,1,0
50,49565,32856,6,0,0
65,83321,3846,1,1,0
29,78453,34697,2,1,0
68,108478,38586,0,1,0
39,53161,36030,1,0,0
39,75991,13775,1,0,0
63,29716,8549,2,0,0
47,53349,23437,1,1,1
55,67098,24958,0,0,0
55,20132,25243,1,0,0
62,71990,43177,3,1,0
68,88921,43424,1,0,0
25,56538,29984,1,1,0
44,119279,37942,3,0,0
44,27213,38538,3,0,1
51,64223,6833,1,1,0
38,111655,24386,0,1,0
47,88371,35813,4,0,0
50,88274,34805,2,0,0
45,24134,7242,1,0,0
64,111428,29704,3,1,0
50,59601,43419,1,0,1
22,93889,25832,1,0,0
65,35690,13321,4,1,0
36,21909,39930,4,0,0
21,111239,33407,1,0,0
52,100032,5073,2,0,0
66,32062,18667,4,1,0
34,95386,17035,2,0,0
61,113237,7732,2,1,0
45,54731,4487,1,0,0
47,25153,35952,2,1,0
46,30481,30425,1,1,0
63,119270,47658,3,1,0
23,86425,20571,4,1,0
52,83600,30075,3,1,0
58,104981,43185,1,1,0
54,91997,6495,0,0,0
41,48205,19681,1,1,0
46,108887,15781,4,0,0
66,101542,40865,1,0,1
63,64149,9469,2,1,0
48,69112,46167,0,0,0
52,30940,17202,5,0,0
50,79010,20928,2,0,0
69,96794,11985,1,1,0
38,44485,40599,3,0,0
49,109299,17775,4,0,0
40,21067,1968,1,0,0
50,40607,11382,1,1,0
20,81597,6151,4,1,0
35,94554,27804,4,0,0
42,68521,44586,1,0,0
59,35187,33259,2,1,0
48,23985,21748,3,0,0
20,63052,20691,2,0,0
57,39563,33020,3,1,0
63,67322,44560,2,0,0
41,81245,28256,8,0,0
67,71514,7125,2,0,0
49,38608,5370,1,1,1
64,87262,5838,1,1,0
39,112118,49943,0,1,0
40,91327,4134,0,1,0
19,77225,46459,2,0,0
44,93994,44199,1,1,1
59,37221,12556,3,1,0
19,68506,34822,2,1,0
43,40968,28977,1,0,0
34,102606,21113,1,0,0
57,47937,31566,2,1,0
50,82435,3669,4,0,0
26,69508,17081,2,1,0
60,61831,13938,2,0,0
65,62933,6717,1,1,0
56,67307,13282,1,0,1
46,68340,48659,1,1,0
59,106338,43065,1,0,0
43,63601,15201,2,0,0
52,95956,17289,2,1,0
67,92178,25406,4,1,0
42,105311,32286,3,0,0
41,48754,13873,4,0,0
30,63310,17512,5,1,1
24,89893,29927,3,1,0
53,106799,24461,2,0,0
62,68367,21710,1,0,0
37,33201,20952,3,1,0
18,22739,14448,2,1,0
25,33231,16198,0,0,0
63,62495,8622,4,0,0
33,41168,41848,3,0,0
31,52624,3402,2,1,0
29,30635,37324,0,0,0
68,29964,29467,1,1,0
40,47785,35961,6,0,0
32,115046,44007,1,0,0
45,102797,21739,3,1,0
51,104790,19518,2,1,0
19,96928,27547,4,1,0
49,32336,29936,0,0,0
40,97475,21287,2,0,0
39,47412,42351,3,1,0
68,102212,26476,1,0,0
42,95379,13875,0,1,0
39,65591,11686,1,0,0
39,81750,18536,4,0,0
66,110648,35062,2,1,0
69,116134,49216,1,1,0
59,55454,26041,1,1,1
23,118537,32653,2,0,0
32,82672,22673,1,0,0
60,47228,11367,3,0,0
54,34429,20629,4,0,0
50,104294,47105,2,1,0
25,87808,24100,2,1,0
61,102886,7654,4,0,0
61,73015,26063,1,1,0
22,108074,20322,1,0,0
56,88936,20010,2,1,0
21,100907,13693,1,1,0
23,77378,10241,1,0,0
62,57310,30778,3,0,0
49,103683,37843,5,1,0
69,88827,13651,3,0,0
47,55256,26966,1,1,0
64,96428,10275,2,0,0
52,119862,46606,6,1,0
57,58889,2658,1,0,0
69,71428,29963,2,1,1
33,57207,7932,4,0,0
30,70255,15248,3,1,0
67,111531,25437,2,1,0
59,25409,40727,0,0,1
47,62438,19201,5,1,0
36,115359,42150,0,0,0
34,27869,25355,1,0,0
36,76862,15999,2,1,0
45,107937,7376,2,0,0
43,45958,4476,4,0,0
54,96302,5366,3,0,0
43,39768,49974,2,0,0
40,116330,26733,2,0,0
26,46145,13458,1,1,0
29,95622,33795,1,0,0
18,46442,21615,1,0,1
18,101948,12164,6,1,0
64,45596,40316,0,0,0
51,95791,4024,3,0,0
49,62406,30559,4,1,0
65,60524,2264,3,1,1
42,43332,10047,3,1,0
57,35764,45985,0,0,1
62,47563,7587,0,0,0
18,107675,7577,2,1,0
33,56370,18635,2,1,1
56,25062,46564,0,1,0
22,64645,4870,1,0,0
39,27244,35094,0,1,0
46,26372,10217,6,0,0
20,105501,18602,2,1,0
29,84471,1605,5,0,0
43,36956,23343,4,1,0
33,60473,14003,1,1,0
68,33894,44257,4,1,0
54,118918,33089,4,1,0
39,89586,18661,2,0,0
46,36709,17782,1,1,0
31,101258,31029,2,1,0
45,35210,14487,2,1,0
22,69510,48501,2,0,0
64,58674,40042,4,1,0
66,37733,23065,0,1,0
47,40080,11844,1,1,0
63,73412,20323,1,0,0
69,78971,26397,2,0,0
22,59709,46957,3,0,0
